gender,age
female,40
male,39
male,40
male,37
male,40
female,45
female,36
female,37
male,47
male,57
male,37
male,55
male,37
male,48
male,36
female,59
male,59
male,45
male,30
male,46
male,48
male,29
male,39
male,49
male,40
male,49
male,50
male,37
female,35
male,39
male,36
male,36
male,40
male,26
male,50
male,46
female,48
male,27
male,45
male,56
male,30
male,50
male,39
male,29
female,29
male,39
male,45
male,35
male,36
male,38
male,40
male,40
male,37
male,47
male,30
male,38
female,48
male,40
male,39
female,45
male,40
female,40
male,40
male,40
female,39
male,25
male,40
male,47
male,45
male,36
male,28
male,36
female,47
male,60
male,36
female,35
male,46
male,47
male,36
male,40
male,37
male,30
male,59
male,45
male,49
male,36
female,29
male,50
male,47
male,35
male,46
male,50
male,40
male,49
male,65
male,39
male,40
male,55
female,46
male,28
female,36
male,38
male,40
male,48
male,30
male,47
male,35
male,38
female,38
male,25
male,35
female,37
male,37
male,47
male,37
male,38
male,39
male,50
male,35
male,29
male,45
female,37
male,56
female,50
male,35
female,46
male,48
female,29
male,35
male,35
male,46
female,46
male,38
male,38
male,46
male,45
male,26
female,39
female,47
male,48
male,37
male,35
male,45
male,35
male,49
male,29
male,37
male,39
male,58
male,39
male,58
male,38
male,39
male,38
male,40
male,40
male,39
male,30
male,50
female,37
male,30
male,35
male,40
male,36
male,45
male,55
female,35
male,59
male,28
male,37
male,39
male,36
male,47
male,39
male,47
female,35
male,39
male,37
male,45
male,48
male,48
male,45
male,66
female,47
male,89
female,29
male,39
male,35
male,40
male,65
male,47
male,35
male,49
male,40
male,36
female,35
male,47
male,49
male,66
male,39
female,36
female,45
female,46
male,40
female,46
male,38
male,38
male,48
male,36
female,35
male,45
male,37
male,26
female,58
male,35
male,29
male,29
female,49
male,47
male,50
male,48
male,48
female,36
male,49
male,35
male,40
male,46
male,49
male,38
male,39
male,35
male,16
male,47
male,46
female,57
male,46
male,48
male,46
male,30
male,45
female,38
female,37
male,35
male,47
male,35
male,39
male,38
male,37
male,49
female,35
male,26
male,36
male,37
male,36
male,66
male,40
male,37
female,40
female,28
male,39
male,36
male,37
male,60
male,47
male,39
female,38
male,40
male,37
female,37
male,37
male,49
male,45
male,38
female,36
male,48
male,35
male,48
male,35
male,40
male,40
male,48
male,47
male,46
female,30
male,40
male,38
female,47
male,40
male,39
male,46
male,48
female,36
male,25
male,38
male,48
male,45
male,45
male,39
female,30
male,45
male,49
male,39
male,36
male,37
male,48
male,49
male,45
male,37
female,46
female,40
male,36
male,57
male,66
male,36
male,36
female,38
male,28
female,46
female,35
male,26
male,28
female,36
male,38
female,35
male,48
male,45
male,39
male,27
male,39
male,39
male,39
male,40
male,38
male,45
male,35
male,40
male,26
male,36
female,37
male,39
female,38
male,36
male,55
male,59
male,39
male,30
male,38
male,36
male,36
male,40
male,47
male,36
male,50
male,38
female,40
male,37
male,37
male,45
male,47
male,36
male,47
female,28
male,38
male,38
male,27
male,37
male,35
male,30
male,37
male,35
male,38
female,36
female,35
male,38
male,35
male,45
male,37
male,38
female,36
male,37
male,37
female,48
male,40
female,29
male,38
female,38
male,49
male,48
male,37
female,48
male,46
male,59
male,38
female,56
male,46
male,40
male,49
female,39
male,39
male,39
male,45
male,38
female,48
male,39
male,38
male,49
male,40
male,58
male,39
female,39
male,30
male,46
female,38
male,25
male,56
male,36
male,37
male,46
male,36
male,40
male,40
female,39
male,46
male,36
female,28
male,45
female,36
male,37
male,40
male,30
male,56
male,46
male,48
male,49
male,60
female,35
male,40
male,27
male,36
male,57
male,36
male,48
male,45
male,59
male,39
male,30
male,49
male,48
female,38
male,35
male,36
male,35
female,35
female,40
male,35
male,36
female,48
male,39
male,46
male,39
male,56
male,58
male,38
male,47
male,38
male,36
male,38
female,36
male,40
male,57
male,37
female,28
female,45
male,30
female,46
male,35
male,36
male,30
male,50
male,35
female,46
male,36
female,40
male,60
male,57
male,39
male,58
female,45
female,57
male,49
male,30
male,36
male,35
male,40
female,36
female,27
male,49
male,45
male,38
male,38
female,36
female,40
female,36
female,40
male,36
male,27
male,37
male,39
male,35
male,37
female,35
male,35
male,47
male,49
male,38
male,47
female,30
male,37
male,37
male,37
male,35
male,36
female,39
male,39
female,40
male,65
male,48
male,37
male,38
male,45
male,37
male,37
female,35
male,39
male,35
male,47
male,39
male,29
male,36
male,45
male,40
male,36
male,39
male,38
male,39
female,36
female,45
female,35
male,75
female,37
female,39
male,50
female,38
female,35
male,39
male,40
male,46
male,55
male,39
male,106
male,37
male,45
male,36
male,39
male,30
male,30
male,39
female,35
male,47
male,27
male,38
male,35
female,36
female,37
male,37
male,39
male,30
male,36
male,36
male,48
male,37
male,50
male,37
female,37
male,37
male,29
male,36
male,36
male,37
male,27
male,56
male,38
male,39
male,39
male,49
male,40
female,46
male,60
male,27
